code,name
2204,Universitas Muria Kudus
2205,Universitas Muslim Indonesia Makassar
2206,Universitas NU Surakarta
2210,Universitas Pekalongan
2213,Universitas Pendidikan Nasional Denpasar
2217,Universitas PGRI Yogyakarta
2218,Universitas Proklamasi 45 Yogyakarta
2219,Universitas Putra Bangsa Surabaya
2220,Universitas Respati Indonesia
2223,Universitas Sanata Dharma Yogyakarta
2226,Universitas Serambi Mekkah
2227,Universitas Siliwangi Tasikmalaya
2230,Universitas STIKUBANK Semarang
2231,Universitas Sulawesi Tenggara Kendari
2232,Universitas Sultan Ageng Tirtayasa
2235,Universitas Tarumanegara
2236,Universitas Teknologi Yogyakarta
2238,Universitas Tridinanti Palembang
2239,Universitas Tunas Pembangunan
2240,Universitas Veteran Bangun Nusantara Sukoharjo
2241,Universitas Wage Rudolf Supratman
2242,Universitas Wangsa Manggala Yogyakarta
2245,Universitas Widya Gama Malang
2246,Universitas Widya Mataram Yogyakarta
302,PT. Pusri Wijaya
309,PT. INTI
406,PT. Martina Berto
411,PT. Daliatexkesuma Bandung
420,PT. Trimitra Binatama
502,Departemen Perhubungan
503,Departemen Perindustrian
504,Kementerian Komunikasi dan Informatika
505,Kementerian Pertahanan 
506,TNI AD
511,Departemen Kesehatan
512,Departemen Kelautan dan Perikanan
513,Departemen Pekerjaan Umum
514,Departemen Hukum dan Hak Asasi Manusia
515,Departemen Dalam Negeri
517,Departemen Kehutanan
518,Lembaga Riset Perkebunan Indonesia
520,Departemen Sosial
601,BAKOSURTANAL
603,BATAN
604,BMG
605,BPPT
609,LAPAN
610,LIPI
701,BALITBANGDA
702,BAPPEDA
703,DINAS
704,LAIN-LAIN
521,Kementrian Negara Riset dan Teknologi
5302,Balitbang Prop Sulteng
20091216,BALITBANG PROPINSI JAWA TIMUR
3A,Akademi Kebidanan Estu Utomo
4A,Akademi Keperawatan Nabila Padang Panjang
5A,Akademi Keperawatan Universitas Muhammadiyah Ponorogo
6A,Akademi Keperawatan Universitas Pembangunan Nasional Veteran
9A,Akademi Pariwisata Muhammadiyah Jember
10A,Akademi Pembangunan Pertanian Sumatera Barat
12A,Akademi Peternakan Brahmaputra Yogyakarta
13A,Akademi Sekteraris Manajemen LPI
14A,akademi teknologi aub surakarta
15A,Akademi Teknologi Warga Surakarta
16A,Akasemi Analis Kimia YAPIKA Makassar
17A,B2P3KS Press.
18A,Badan Koordinasi Keluarga Berencana Nasional Puslitbang keluarga Sejahtera dan Peningkatan Kualitas Perempuan
19A,Badan Pelatihan dan Pengembangan Sosial Departemen Sosial
26A,Badan Penelitian dan Pengembangan Daerah Sumatera Selatan
33A,Badan Penelitian dan Pengembangan Propinsi Jawa Timur
34A,Badan Penelitian dan Pengembangan Propinsi Sumatera Barat
37A,Badan Pengkajian Ekonomi, Keuangan dan Kerjasama Internasional
38A,Badan Pertanahan Nasional
39A,Bagian Hukum Pidana Universitas Jambi
40A,Balai Arkeologi Denpasar
41A,Balai Bahasa
42A,Balai Bahasa Jayapura
47A,Balai Kajian Sejarah dan Nilai Tradisional
48A,Balai Penelitian Bioteknologi Perkebunan Indonesia
59A,Balan Penelitian dan Pengembangan Propinsi Bengkulu
61A,Bigraf
62A,BPSNT Padang Press.
63A,Budidaya Pertanian Sekolah Tinggi Pertanian Surya Dharma
64A,Budidaya Tanaman Pangan Akademi Pertanian Yogyakarta APTA
65A,Budidaya Tanaman Perkebunan Pertanian Negeri Pangkap
66A,Citra Media
67A,Coral Reel Rehabilitation and Management Program LIPI
68A,Departemen Arkeologi Universitas Indonesia
69A,Departemen Biologi Institut Pertanian Bogor
77A,Departemen Sosiologi Universitas Indonesia
78A,Direktorat Jenderal Pendidikan Tinggi Departemen Pendidikan Nasional
79A,Direktorat Riset dan Pengabdian Masyarakat Universitas Indonesia
131A,Universitas Nasional
195A,Fakultas Ekonomi Universitas Lambung Mangkurat
1104001,Akademi Bahasa Asing Bumigora Mataram
1104002,Akademi Manajemen Informatika dan Komputer Taruna Probolinggo
1104003,Akademi Maritim Yogayakarta
1104004,Akademi Pariwisata Widya Nusantara
1104005,Akademi Pelayaran Nasional Surakarta
1104006,Akademi Perikanan Yogyakarta
1104007,Akademi Peternakan Brahmaputera
1104007,Akademi Peternakan Brahmaputra
1104008,Akademi Peternakan Karanganyar
1104009,Akademi Sekretari dan Manajemen Marsudirini ASMI Santa Maria Yogyakart
1104010,Akademi Teknik PIRI
1104011,Akademi Teknik Warga
